"Timestamp";"Age";"Area";"Men";"Women"
"2024M01";"15-19 years";"Fredericia";1615;1555
"2024M01";"15-19 years";"Haderslev";1803;1744
"2024M01";"15-19 years";"Kolding";3168;3059
"2024M01";"15-19 years";"S�nderborg";2509;2241
"2024M01";"15-19 years";"T�nder";1076;1077
"2024M01";"15-19 years";"Varde";1568;1433
"2024M01";"15-19 years";"Vejen";1394;1338
"2024M01";"15-19 years";"Vejle";3958;3778
"2024M01";"15-19 years";"Aabenraa";1913;1869
"2024M01";"15-19 years";"Region Midtjylland";42131;41030
"2024M01";"15-19 years";"Favrskov";1824;1747
"2024M01";"15-19 years";"Hedensted";1677;1497
"2024M01";"15-19 years";"Horsens";2989;2927
"2024M01";"15-19 years";"Norddjurs";1149;1105
"2024M01";"15-19 years";"Odder";809;719
"2024M01";"15-19 years";"Randers";3083;3017
"2024M01";"15-19 years";"Sams�";78;52
"2024M01";"15-19 years";"Silkeborg";3384;3160
"2024M01";"15-19 years";"Skanderborg";2324;2188
"2024M01";"15-19 years";"Syddjurs";1326;1256
"2024M01";"15-19 years";"Aarhus";9012;9105
"2024M01";"15-19 years";"Herning";2900;2912
"2024M01";"15-19 years";"Holstebro";2013;1866
"2024M01";"15-19 years";"Ikast-Brande";1474;1385
"2024M01";"15-19 years";"Lemvig";575;578
"2024M01";"15-19 years";"Ringk�bing-Skjern";1928;1996
"2024M01";"15-19 years";"Skive";1392;1412
"2024M01";"15-19 years";"Struer";688;746
"2024M01";"15-19 years";"Viborg";3506;3362
"2024M01";"15-19 years";"Region Nordjylland";17909;16871
"2024M01";"15-19 years";"Br�nderslev";1246;1205
"2024M01";"15-19 years";"Frederikshavn";1689;1557
"2024M01";"15-19 years";"Hj�rring";2043;1867
"2024M01";"15-19 years";"Jammerbugt";1196;1164
"2024M01";"15-19 years";"L�s�";29;36
"2024M01";"15-19 years";"Mariagerfjord";1364;1212
"2024M01";"15-19 years";"Mors�";658;600
"2024M01";"15-19 years";"Rebild";1053;970
"2024M01";"15-19 years";"Thisted";1380;1339
"2024M01";"15-19 years";"Vesthimmerlands";1169;1085
"2024M01";"15-19 years";"Aalborg";6082;5836
"2024M01";"20-24 years";"All Denmark";190874;184804
"2024M01";"20-24 years";"Region Hovedstaden";65084;67487
"2024M01";"20-24 years";"Copenhagen";29849;35783
"2024M01";"20-24 years";"Frederiksberg";4061;4864
"2024M01";"20-24 years";"Drag�r";219;203
"2024M01";"20-24 years";"T�rnby";1055;928
"2024M01";"20-24 years";"Albertslund";1082;943
"2024M01";"20-24 years";"Ballerup";1588;1376
"2024M01";"20-24 years";"Br�ndby";1364;1320
"2024M01";"20-24 years";"Gentofte";1772;1592
"2024M01";"20-24 years";"Gladsaxe";2278;1946
"2024M01";"20-24 years";"Glostrup";721;694
"2024M01";"20-24 years";"Herlev";923;788
"2024M01";"20-24 years";"Hvidovre";1595;1534
"2024M01";"20-24 years";"H�je-Taastrup";1857;1728
"2024M01";"20-24 years";"Ish�j";828;728
"2024M01";"20-24 years";"Lyngby-Taarb�k";2599;1850
"2024M01";"20-24 years";"R�dovre";1259;1209
"2024M01";"20-24 years";"Vallensb�k";503;485
"2024M01";"20-24 years";"Aller�d";518;387
"2024M01";"20-24 years";"Egedal";1020;805
"2024M01";"20-24 years";"Fredensborg";850;781
"2024M01";"20-24 years";"Frederikssund";1047;839
"2024M01";"20-24 years";"Fures�";855;698
"2024M01";"20-24 years";"Gribskov";912;681
"2024M01";"20-24 years";"Halsn�s";682;550
"2024M01";"20-24 years";"Helsing�r";1470;1323
"2024M01";"20-24 years";"Hiller�d";1602;1413
